epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6552,2.16408,3.61917,1.40002,0.57769,0.12339,0.35389,0.24517,1.55309,2.33289,1.21235,0.000467977,0.000467977,0.000467977
2,59.0102,2.05492,1.96022,1.36534,0.68301,0.23029,0.45357,0.25953,1.73335,3.58624,1.27714,0.000934961,0.000934961,0.000934961
3,83.1132,2.01433,1.76393,1.35842,0.79405,0.2688,0.52625,0.3663,1.64066,2.04439,1.73358,0.00139251,0.00139251,0.00139251
4,106.064,2.06134,1.74473,1.36039,0.0509,0.11856,0.03457,0.02064,1.98647,inf,17.8172,0.00138656,0.00138656,0.00138656
5,130.295,2.06838,1.65147,1.375,0.47741,0.27741,0.36497,0.21701,1.71337,2.26141,1.24793,0.00137241,0.00137241,0.00137241
6,153.222,2.0372,1.63557,1.35527,0.53904,0.37315,0.47108,0.28403,1.71353,2.23432,1.26212,0.00135826,0.00135826,0.00135826
7,176.635,1.97005,1.55006,1.33257,0.7478,0.29399,0.52904,0.34952,1.59547,1.73266,1.20828,0.00134412,0.00134412,0.00134412
8,200.603,1.99556,1.52594,1.31572,0.65835,0.36107,0.51156,0.35362,1.54457,1.73742,1.20335,0.00132997,0.00132997,0.00132997
9,223.219,1.97795,1.45763,1.31507,0.81038,0.31815,0.56542,0.36898,1.61964,1.72748,1.23852,0.00131582,0.00131582,0.00131582
10,247.39,1.92939,1.44838,1.28765,0.78349,0.32217,0.55743,0.39086,1.60099,1.74212,1.22117,0.00130168,0.00130168,0.00130168
11,269.978,1.88467,1.33601,1.28707,0.82155,0.27541,0.55586,0.40051,1.64288,1.7657,1.24399,0.00128753,0.00128753,0.00128753
12,294.114,1.92748,1.36621,1.2801,0.68844,0.34285,0.52773,0.34123,1.59307,1.75276,1.21064,0.00127338,0.00127338,0.00127338
13,317.141,1.88927,1.38703,1.26993,0.61402,0.38131,0.51105,0.33722,1.51705,1.79151,1.19331,0.00125923,0.00125923,0.00125923
14,340.044,1.85753,1.31205,1.26129,0.72436,0.34723,0.54172,0.37507,1.51577,1.71926,1.17103,0.00124509,0.00124509,0.00124509
15,364.35,1.88119,1.33667,1.27024,0.67837,0.38942,0.55433,0.38255,1.53642,1.7093,1.19706,0.00123094,0.00123094,0.00123094
16,387.183,1.84045,1.26395,1.27043,0.68412,0.38903,0.5401,0.33251,1.64213,1.75712,1.20758,0.00121679,0.00121679,0.00121679
17,411.349,1.83195,1.26545,1.24564,0.71055,0.39133,0.55742,0.37138,1.49852,1.58042,1.17244,0.00120265,0.00120265,0.00120265
18,434.588,1.81378,1.25813,1.23827,0.69353,0.37269,0.53194,0.34875,1.60511,1.74576,1.21522,0.0011885,0.0011885,0.0011885
19,458.709,1.78022,1.22046,1.23322,0.61912,0.34117,0.50535,0.33244,1.71839,1.83915,1.25942,0.00117435,0.00117435,0.00117435
20,481.575,1.80992,1.21452,1.23174,0.70964,0.35077,0.54066,0.3645,1.56041,1.64555,1.19874,0.00116021,0.00116021,0.00116021
21,505.247,1.78344,1.21042,1.23276,0.70354,0.31606,0.51632,0.35828,1.61264,1.79687,1.20818,0.00114606,0.00114606,0.00114606
22,529.38,1.75181,1.18088,1.21513,0.62858,0.37192,0.51683,0.3568,1.53741,1.74591,1.18696,0.00113191,0.00113191,0.00113191
23,552.297,1.77825,1.15138,1.22863,0.60708,0.37119,0.50697,0.3416,1.59636,1.73648,1.21857,0.00111776,0.00111776,0.00111776
24,576.449,1.78969,1.188,1.22058,0.7147,0.33415,0.52168,0.34535,1.66518,1.88927,1.24738,0.00110362,0.00110362,0.00110362
25,598.987,1.76814,1.12361,1.21672,0.62568,0.349,0.51072,0.32662,1.5873,1.83211,1.21707,0.00108947,0.00108947,0.00108947
26,622.902,1.7588,1.13934,1.21829,0.69765,0.39379,0.55197,0.3702,1.52534,1.59421,1.17055,0.00107532,0.00107532,0.00107532
27,645.355,1.71093,1.11423,1.20124,0.76112,0.39439,0.5749,0.36893,1.61678,1.79297,1.20576,0.00106118,0.00106118,0.00106118
28,669.298,1.72283,1.10002,1.19264,0.63997,0.43121,0.52662,0.33402,1.61804,1.68979,1.2347,0.00104703,0.00104703,0.00104703
29,692.798,1.77677,1.10403,1.18818,0.63841,0.35068,0.51505,0.33753,1.58913,1.81011,1.19397,0.00103288,0.00103288,0.00103288
30,715.408,1.72105,1.10387,1.19723,0.57955,0.45486,0.51911,0.314,1.60213,1.6974,1.21503,0.00101873,0.00101873,0.00101873
31,739.432,1.7432,1.11611,1.19575,0.68885,0.3387,0.52305,0.35891,1.59089,1.75713,1.18262,0.00100459,0.00100459,0.00100459
32,761.983,1.69472,1.06908,1.18145,0.69573,0.36783,0.53566,0.36177,1.55757,1.78068,1.1922,0.00099044,0.00099044,0.00099044
33,786.064,1.69039,1.02913,1.17229,0.64766,0.35866,0.50121,0.33053,1.67229,1.8355,1.22823,0.000976293,0.000976293,0.000976293
34,808.832,1.67049,1.01224,1.18288,0.65867,0.4072,0.52092,0.3419,1.66318,1.79603,1.24081,0.000962146,0.000962146,0.000962146
35,832.6,1.66048,1.01174,1.17345,0.61039,0.40952,0.51189,0.33675,1.63568,1.87365,1.23696,0.000947999,0.000947999,0.000947999
36,856.401,1.69469,1.02593,1.1942,0.67168,0.38281,0.52223,0.3391,1.60283,1.79344,1.22727,0.000933851,0.000933851,0.000933851
37,879.462,1.64847,0.98109,1.16626,0.68897,0.36071,0.52112,0.33012,1.64891,2.02286,1.24906,0.000919704,0.000919704,0.000919704
38,903.874,1.65904,1.01591,1.17751,0.74229,0.42884,0.57807,0.36585,1.58015,1.70795,1.1952,0.000905557,0.000905557,0.000905557
39,926.481,1.6322,0.98561,1.13612,0.62378,0.44456,0.55353,0.36114,1.61659,1.74417,1.19904,0.00089141,0.00089141,0.00089141
40,950.626,1.65189,0.98366,1.17123,0.63875,0.41558,0.52244,0.33393,1.5547,1.79939,1.18011,0.000877263,0.000877263,0.000877263
41,973.586,1.63517,0.96794,1.14478,0.74246,0.42706,0.5756,0.37574,1.60547,1.76893,1.20572,0.000863116,0.000863116,0.000863116
42,997.378,1.63366,0.96051,1.14306,0.63534,0.45422,0.53072,0.33853,1.60932,1.78988,1.23258,0.000848969,0.000848969,0.000848969
43,1021.11,1.62339,0.94059,1.1721,0.62359,0.43613,0.52485,0.33757,1.59269,1.67944,1.20152,0.000834822,0.000834822,0.000834822
44,1044.11,1.60555,0.93032,1.13936,0.65031,0.41366,0.53088,0.34888,1.6249,1.80235,1.2466,0.000820675,0.000820675,0.000820675
45,1068.53,1.60445,0.92933,1.15507,0.68212,0.40291,0.53487,0.34729,1.57771,1.78657,1.21674,0.000806528,0.000806528,0.000806528
46,1090.97,1.59092,0.92753,1.12896,0.67988,0.41918,0.55674,0.37107,1.59919,1.78836,1.22323,0.00079238,0.00079238,0.00079238
47,1115.27,1.57268,0.89651,1.13556,0.75135,0.43413,0.60506,0.40335,1.5787,1.81687,1.20418,0.000778233,0.000778233,0.000778233
48,1138.09,1.58188,0.90384,1.13943,0.68759,0.37944,0.52416,0.34907,1.56692,1.96031,1.21214,0.000764086,0.000764086,0.000764086
49,1162.31,1.5333,0.87684,1.13053,0.71202,0.45583,0.587,0.38719,1.5987,1.75859,1.23836,0.000749939,0.000749939,0.000749939
50,1186.4,1.56621,0.89363,1.13321,0.63929,0.4308,0.52474,0.3371,1.5612,1.74114,1.23197,0.000735792,0.000735792,0.000735792
51,1209.33,1.57694,0.89738,1.12946,0.69337,0.3871,0.53676,0.3739,1.57887,1.95473,1.24679,0.000721645,0.000721645,0.000721645
52,1233.67,1.56919,0.893,1.13891,0.67372,0.41591,0.5377,0.34855,1.64649,1.83749,1.22819,0.000707498,0.000707498,0.000707498
53,1256.34,1.54897,0.86753,1.10819,0.66532,0.39453,0.53361,0.34741,1.60718,1.87791,1.22676,0.000693351,0.000693351,0.000693351
54,1280.84,1.54899,0.86484,1.10349,0.67697,0.38309,0.51198,0.33671,1.58896,1.81128,1.2113,0.000679204,0.000679204,0.000679204
55,1304.25,1.57548,0.89674,1.13569,0.65282,0.38295,0.51726,0.32838,1.62842,1.93843,1.24357,0.000665057,0.000665057,0.000665057
56,1328.2,1.55402,0.87342,1.1142,0.62364,0.39862,0.49361,0.32905,1.60101,1.95923,1.24776,0.000650909,0.000650909,0.000650909
57,1352.72,1.50531,0.8383,1.10195,0.64999,0.40073,0.51052,0.32761,1.60396,2.02689,1.22082,0.000636762,0.000636762,0.000636762
58,1375.64,1.49148,0.81193,1.09311,0.59924,0.40442,0.49608,0.31624,1.55545,1.85016,1.21495,0.000622615,0.000622615,0.000622615
59,1399.89,1.50405,0.83917,1.10514,0.59916,0.40352,0.48796,0.30768,1.60637,1.94864,1.25529,0.000608468,0.000608468,0.000608468
60,1422.38,1.52113,0.83814,1.10305,0.64206,0.40651,0.51618,0.34772,1.56534,1.85029,1.22571,0.000594321,0.000594321,0.000594321
61,1446.53,1.50325,0.82457,1.11182,0.71632,0.39218,0.53091,0.34548,1.63582,1.889,1.25302,0.000580174,0.000580174,0.000580174
62,1469.07,1.48747,0.80475,1.09272,0.67444,0.42324,0.53907,0.35133,1.64498,1.84975,1.24697,0.000566027,0.000566027,0.000566027
63,1492.84,1.48714,0.82937,1.08518,0.63741,0.39576,0.51088,0.34729,1.61443,1.89601,1.23206,0.00055188,0.00055188,0.00055188
64,1516.61,1.48979,0.81161,1.09811,0.6513,0.38209,0.5031,0.32975,1.60739,1.92732,1.25037,0.000537733,0.000537733,0.000537733
65,1539.6,1.4663,0.78704,1.08971,0.69257,0.43727,0.54605,0.35312,1.60286,1.87595,1.23535,0.000523586,0.000523586,0.000523586
66,1563.63,1.45717,0.80677,1.08626,0.64171,0.41726,0.51638,0.33277,1.58095,1.97222,1.21428,0.000509438,0.000509438,0.000509438
67,1586.38,1.47902,0.79969,1.07672,0.66168,0.41257,0.53491,0.35399,1.59228,1.99688,1.24721,0.000495291,0.000495291,0.000495291
68,1610.68,1.44791,0.78983,1.083,0.65698,0.3716,0.50624,0.33024,1.63094,2.04513,1.23288,0.000481144,0.000481144,0.000481144
69,1633.44,1.41983,0.76093,1.05744,0.60333,0.41918,0.5092,0.33199,1.557,1.90467,1.21681,0.000466997,0.000466997,0.000466997
70,1658.15,1.45745,0.79257,1.07375,0.60055,0.43545,0.50289,0.32027,1.60413,1.97364,1.22768,0.00045285,0.00045285,0.00045285
71,1682.11,1.43937,0.77469,1.07813,0.6766,0.40597,0.54458,0.3557,1.60078,1.92729,1.2307,0.000438703,0.000438703,0.000438703
72,1704.8,1.46264,0.76986,1.09583,0.68995,0.42583,0.54508,0.34215,1.64867,1.97609,1.26109,0.000424556,0.000424556,0.000424556
73,1728.83,1.4343,0.77122,1.08548,0.68162,0.39977,0.52661,0.3387,1.63324,1.86071,1.27005,0.000410409,0.000410409,0.000410409
74,1751.5,1.42516,0.77481,1.07523,0.60841,0.4013,0.48811,0.32034,1.51448,1.80659,1.21639,0.000396262,0.000396262,0.000396262
75,1775.45,1.42303,0.77147,1.07108,0.70856,0.36874,0.53862,0.35946,1.54643,1.90052,1.20758,0.000382115,0.000382115,0.000382115
76,1798.35,1.40428,0.77063,1.06919,0.61021,0.39221,0.50223,0.32351,1.6134,1.95693,1.22016,0.000367967,0.000367967,0.000367967
77,1822.27,1.40532,0.76177,1.05494,0.65687,0.38309,0.50871,0.32927,1.60534,2.01797,1.24297,0.00035382,0.00035382,0.00035382
78,1845.86,1.39945,0.74241,1.05342,0.64176,0.39617,0.51508,0.33345,1.59183,1.96113,1.24646,0.000339673,0.000339673,0.000339673
79,1868.74,1.41685,0.74734,1.06768,0.62707,0.39991,0.50962,0.32241,1.61981,1.89584,1.23838,0.000325526,0.000325526,0.000325526
80,1892.85,1.38102,0.7402,1.04532,0.65702,0.41025,0.52281,0.32434,1.60185,1.8907,1.21686,0.000311379,0.000311379,0.000311379
81,1915.12,1.36021,0.72109,1.05512,0.66397,0.40543,0.52764,0.34325,1.59432,1.82331,1.24684,0.000297232,0.000297232,0.000297232
82,1939.4,1.37234,0.72373,1.0342,0.62914,0.41549,0.52978,0.35123,1.59379,1.83926,1.2471,0.000283085,0.000283085,0.000283085
83,1962.33,1.36573,0.72303,1.05783,0.58148,0.40651,0.49795,0.33063,1.60073,1.92903,1.23356,0.000268938,0.000268938,0.000268938
84,1986.04,1.3579,0.71561,1.03832,0.60991,0.37287,0.48736,0.32765,1.5946,1.99357,1.25448,0.000254791,0.000254791,0.000254791
85,2010.57,1.37712,0.72858,1.03886,0.60243,0.41617,0.50976,0.33126,1.60745,1.95839,1.24323,0.000240644,0.000240644,0.000240644
86,2033.39,1.3569,0.7175,1.05078,0.61979,0.40597,0.50175,0.32455,1.61618,1.97731,1.25129,0.000226497,0.000226497,0.000226497
87,2057.58,1.3483,0.70743,1.03287,0.65064,0.4025,0.51117,0.32562,1.63379,2.01907,1.25596,0.000212349,0.000212349,0.000212349
88,2080.11,1.36537,0.70648,1.04477,0.68109,0.33845,0.47923,0.31782,1.60349,2.00024,1.2385,0.000198202,0.000198202,0.000198202
89,2104.15,1.3578,0.70674,1.04509,0.60253,0.38669,0.49327,0.32717,1.58136,1.98756,1.21756,0.000184055,0.000184055,0.000184055
90,2127.34,1.35328,0.70825,1.04529,0.63138,0.41248,0.52015,0.343,1.59988,1.95431,1.22582,0.000169908,0.000169908,0.000169908
91,2152.17,1.34763,0.70631,1.0806,0.61706,0.39745,0.50197,0.33039,1.60011,1.93846,1.23437,0.000155761,0.000155761,0.000155761
92,2175.95,1.34197,0.70297,1.06492,0.60307,0.39936,0.50427,0.3268,1.57074,1.91263,1.21223,0.000141614,0.000141614,0.000141614
93,2197.84,1.33216,0.70005,1.06202,0.64279,0.37029,0.50898,0.33235,1.60594,1.98828,1.23653,0.000127467,0.000127467,0.000127467
94,2221.59,1.318,0.69932,1.05743,0.65024,0.39384,0.51049,0.33091,1.5947,1.96231,1.2369,0.00011332,0.00011332,0.00011332
95,2243.82,1.3233,0.68591,1.05442,0.65955,0.38847,0.51511,0.33508,1.61834,2.00808,1.24538,9.91726e-05,9.91726e-05,9.91726e-05
96,2267.41,1.30421,0.68013,1.04411,0.65613,0.3933,0.51771,0.337,1.61765,1.99868,1.24912,8.50255e-05,8.50255e-05,8.50255e-05
97,2289.36,1.27577,0.66953,1.03021,0.68955,0.35349,0.4993,0.32665,1.59587,1.96183,1.24168,7.08784e-05,7.08784e-05,7.08784e-05
98,2312.8,1.29248,0.66848,1.04229,0.66427,0.38309,0.52224,0.3365,1.60161,1.99638,1.24385,5.67313e-05,5.67313e-05,5.67313e-05
99,2334.59,1.27012,0.65517,1.04874,0.66716,0.38915,0.52257,0.33399,1.60854,2.01589,1.25526,4.25842e-05,4.25842e-05,4.25842e-05
100,2357.98,1.27762,0.65777,1.036,0.66459,0.39453,0.52372,0.33209,1.6099,2.02518,1.25545,2.84371e-05,2.84371e-05,2.84371e-05
